# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      23     0.00000     0.00000     0.00000   -2.447007112   -3.679437054   -1.232429942
     1      23     0.01175     0.02035     0.00000   -2.435396667   -3.714776145   -1.279379479
     1      23     0.02349     0.04069     0.00000   -2.385991847   -3.712038676   -1.326046829
     1      23     0.03524     0.06104     0.00000   -2.313084761   -3.683810631   -1.370725870
     1      23     0.04699     0.08139     0.00000   -2.238441526   -3.652557919   -1.414116394
     1      23     0.05874     0.10174     0.00000   -2.170594480   -3.624235529   -1.453641050
     1      23     0.07048     0.12208     0.00000   -2.112893518   -3.600959181   -1.488065663
     1      23     0.08223     0.14243     0.00000   -2.066700310   -3.580699357   -1.513999047
     1      23     0.09398     0.16278     0.00000   -2.032490709   -3.570123394   -1.537632685
     1      23     0.10573     0.18312     0.00000   -2.010372463   -3.569352881   -1.558980418
     1      23     0.11747     0.20347     0.00000   -2.000297476   -3.574435482   -1.574138006
     1      23     0.12922     0.22382     0.00000   -2.002199974   -3.588069002   -1.585869028
     1      23     0.14097     0.24417     0.00000   -2.016017964   -3.607367715   -1.591349751
     1      23     0.15272     0.26451     0.00000   -2.041535258   -3.636714377   -1.595179119
     1      23     0.16446     0.28486     0.00000   -2.077973259   -3.674750413   -1.596777155
     1      23     0.17621     0.30521     0.00000   -2.124119402   -3.722735473   -1.598616071
     1      23     0.18796     0.32555     0.00000   -2.179565197   -3.783015439   -1.603450242
     1      23     0.19971     0.34590     0.00000   -2.244485720   -3.853425790   -1.608940071
     1      23     0.21145     0.36625     0.00000   -2.318465789   -3.929286845   -1.610821056
     1      23     0.22320     0.38660     0.00000   -2.400490395   -4.012430975   -1.611940580
     1      23     0.23495     0.40694     0.00000   -2.489257818   -4.099047942   -1.609790125
     1      23     0.24670     0.42729     0.00000   -2.583270013   -4.191022778   -1.607752764
     1      23     0.25844     0.44764     0.00000   -2.680842201   -4.286505996   -1.605663795
     1      23     0.27019     0.46798     0.00000   -2.780061406   -4.382658935   -1.602597529
     1      23     0.28194     0.48833     0.00000   -2.878698716   -4.477232052   -1.598533336
     1      23     0.29369     0.50868     0.00000   -2.974803037   -4.569052849   -1.594249812
     1      23     0.30543     0.52903     0.00000   -3.068817968   -4.658414204   -1.589596235
     1      23     0.31718     0.54937     0.00000   -3.152392344   -4.736904199   -1.584511855
     1      23     0.32893     0.56972     0.00000   -3.219670553   -4.798954805   -1.579284253
     1      23     0.34068     0.59007     0.00000   -3.263628503   -4.839150804   -1.575522301
     1      23     0.35242     0.61041     0.00000   -3.278659900   -4.850630228   -1.571970328
     1      23     0.35830     0.60024     0.00000   -3.275101435   -4.848847698   -1.573746262
     1      23     0.36417     0.59007     0.00000   -3.265003249   -4.840525644   -1.575522394
     1      23     0.37004     0.57989     0.00000   -3.249462619   -4.826761328   -1.577298709
     1      23     0.37592     0.56972     0.00000   -3.229745629   -4.808719999   -1.578974370
     1      23     0.38179     0.55955     0.00000   -3.207109752   -4.787457521   -1.580347769
     1      23     0.38767     0.54937     0.00000   -3.182702511   -4.764423842   -1.581721331
     1      23     0.39354     0.53920     0.00000   -3.157514628   -4.740609631   -1.583095002
     1      23     0.39941     0.52903     0.00000   -3.132365896   -4.716599763   -1.584233866
     1      23     0.40529     0.51885     0.00000   -3.107941167   -4.693079152   -1.585137986
     1      23     0.41116     0.50868     0.00000   -3.084782246   -4.670824449   -1.586042203
     1      23     0.41703     0.49851     0.00000   -3.063303648   -4.650250076   -1.586946428
     1      23     0.42291     0.48833     0.00000   -3.044728833   -4.631130459   -1.586401626
     1      23     0.42878     0.47816     0.00000   -3.029295418   -4.615054123   -1.585758705
     1      23     0.43466     0.46798     0.00000   -3.016033583   -4.601149623   -1.585116040
     1      23     0.44053     0.45781     0.00000   -3.004923529   -4.589397674   -1.584474145
     1      23     0.44640     0.44764     0.00000   -2.995703975   -4.559186524   -1.563482549
     1      23     0.45228     0.43746     0.00000   -2.987126172   -4.529571984   -1.542445813
     1      23     0.45815     0.42729     0.00000   -2.964368703   -4.506440321   -1.542071619
     1      23     0.46402     0.41712     0.00000   -2.914171294   -4.440912449   -1.526741155
     1      23     0.46990     0.40694     0.00000   -2.810023729   -4.319345040   -1.509321311
     1      23     0.47577     0.39677     0.00000   -2.697360769   -4.189652939   -1.492292170
     1      23     0.48164     0.38660     0.00000   -2.586589710   -4.062050650   -1.475460940
     1      23     0.48752     0.37642     0.00000   -2.479965556   -3.944115189   -1.464149633
     1      23     0.49339     0.36625     0.00000   -2.378625003   -3.836936715   -1.458311712
     1      23     0.49927     0.35608     0.00000   -2.283456243   -3.736079750   -1.452623507
     1      23     0.50514     0.34590     0.00000   -2.195328721   -3.642445685   -1.447116964
     1      23     0.51101     0.33573     0.00000   -2.115303226   -3.566214030   -1.450910803
     1      23     0.51689     0.32555     0.00000   -2.045013204   -3.508168541   -1.463155337
     1      23     0.52276     0.31538     0.00000   -1.987712748   -3.472521924   -1.484809176
     1      23     0.52863     0.30521     0.00000   -1.950694981   -3.465368791   -1.514673810
     1      23     0.53451     0.29503     0.00000   -1.987712748   -3.472521924   -1.484809176
     1      23     0.54038     0.28486     0.00000   -2.045013204   -3.508168541   -1.463155337
     1      23     0.54626     0.27469     0.00000   -2.115303226   -3.566214030   -1.450910803
     1      23     0.55213     0.26451     0.00000   -2.195328721   -3.642445685   -1.447116964
     1      23     0.55800     0.25434     0.00000   -2.283456243   -3.736079750   -1.452623507
     1      23     0.56388     0.24417     0.00000   -2.378625003   -3.836936715   -1.458311712
     1      23     0.56975     0.23399     0.00000   -2.479965556   -3.944115189   -1.464149633
     1      23     0.57562     0.22382     0.00000   -2.586589710   -4.062050650   -1.475460940
     1      23     0.58150     0.21365     0.00000   -2.697360769   -4.189652939   -1.492292170
     1      23     0.58737     0.20347     0.00000   -2.810023729   -4.319345040   -1.509321311
     1      23     0.59325     0.19330     0.00000   -2.914171294   -4.440912449   -1.526741155
     1      23     0.59912     0.18312     0.00000   -2.964368703   -4.506440321   -1.542071619
     1      23     0.60499     0.17295     0.00000   -2.987126172   -4.529571984   -1.542445813
     1      23     0.61087     0.16278     0.00000   -2.995703975   -4.559186524   -1.563482549
     1      23     0.61674     0.15260     0.00000   -3.004923529   -4.589397674   -1.584474145
     1      23     0.62261     0.14243     0.00000   -3.016033583   -4.601149623   -1.585116040
     1      23     0.62849     0.13226     0.00000   -3.029295418   -4.615054123   -1.585758705
     1      23     0.63436     0.12208     0.00000   -3.044728833   -4.631130459   -1.586401626
     1      23     0.64024     0.11191     0.00000   -3.063303648   -4.650250076   -1.586946428
     1      23     0.64611     0.10174     0.00000   -3.084782246   -4.670824449   -1.586042203
     1      23     0.65198     0.09156     0.00000   -3.107941167   -4.693079152   -1.585137986
     1      23     0.65786     0.08139     0.00000   -3.132365896   -4.716599763   -1.584233866
     1      23     0.66373     0.07122     0.00000   -3.157514628   -4.740609631   -1.583095002
     1      23     0.66960     0.06104     0.00000   -3.182702511   -4.764423842   -1.581721331
     1      23     0.67548     0.05087     0.00000   -3.207109752   -4.787457521   -1.580347769
     1      23     0.68135     0.04069     0.00000   -3.229745629   -4.808719999   -1.578974370
     1      23     0.68722     0.03052     0.00000   -3.249462619   -4.826761328   -1.577298709
     1      23     0.69310     0.02035     0.00000   -3.265003249   -4.840525644   -1.575522394
     1      23     0.69897     0.01017     0.00000   -3.275101435   -4.848847698   -1.573746262
     1      23     0.70485     0.00000     0.00000   -3.278659900   -4.850630228   -1.571970328
     1      23     0.68135     0.00000     0.00000   -3.263628505   -4.839150806   -1.575522301
     1      23     0.65786     0.00000     0.00000   -3.219670556   -4.798954808   -1.579284252
     1      23     0.63436     0.00000     0.00000   -3.152392348   -4.736904203   -1.584511855
     1      23     0.61087     0.00000     0.00000   -3.068817973   -4.658414208   -1.589596235
     1      23     0.58737     0.00000     0.00000   -2.974803042   -4.569052854   -1.594249812
     1      23     0.56388     0.00000     0.00000   -2.878698720   -4.477232056   -1.598533336
     1      23     0.54038     0.00000     0.00000   -2.780061410   -4.382658939   -1.602597529
     1      23     0.51689     0.00000     0.00000   -2.680842205   -4.286506000   -1.605663795
     1      23     0.49339     0.00000     0.00000   -2.583270017   -4.191022781   -1.607752764
     1      23     0.46990     0.00000     0.00000   -2.489257821   -4.099047946   -1.609790125
     1      23     0.44640     0.00000     0.00000   -2.400490398   -4.012430978   -1.611940580
     1      23     0.42291     0.00000     0.00000   -2.318465792   -3.929286847   -1.610821056
     1      23     0.39941     0.00000     0.00000   -2.244485721   -3.853425792   -1.608940071
     1      23     0.37592     0.00000     0.00000   -2.179565199   -3.783015441   -1.603450242
     1      23     0.35242     0.00000     0.00000   -2.124119403   -3.722735474   -1.598616071
     1      23     0.32893     0.00000     0.00000   -2.077973260   -3.674750414   -1.596777155
     1      23     0.30543     0.00000     0.00000   -2.041535258   -3.636714378   -1.595179120
     1      23     0.28194     0.00000     0.00000   -2.016017964   -3.607367716   -1.591349751
     1      23     0.25844     0.00000     0.00000   -2.002199975   -3.588069003   -1.585869028
     1      23     0.23495     0.00000     0.00000   -2.000297476   -3.574435482   -1.574138006
     1      23     0.21145     0.00000     0.00000   -2.010372464   -3.569352882   -1.558980418
     1      23     0.18796     0.00000     0.00000   -2.032490710   -3.570123395   -1.537632685
     1      23     0.16446     0.00000     0.00000   -2.066700312   -3.580699359   -1.513999047
     1      23     0.14097     0.00000     0.00000   -2.112893520   -3.600959183   -1.488065663
     1      23     0.11747     0.00000     0.00000   -2.170594482   -3.624235532   -1.453641050
     1      23     0.09398     0.00000     0.00000   -2.238441529   -3.652557923   -1.414116394
     1      23     0.07048     0.00000     0.00000   -2.313084765   -3.683810635   -1.370725870
     1      23     0.04699     0.00000     0.00000   -2.385991852   -3.712038681   -1.326046829
     1      23     0.02349     0.00000     0.00000   -2.435396670   -3.714776148   -1.279379479
     1      23     0.00000     0.00000     0.00000   -2.447007112   -3.679437054   -1.232429942
     1      24     0.00000     0.00000     0.00000   -2.447007112   -3.679437054   -1.232429942
     1      24     0.01175     0.02035     0.00000   -2.434018610   -3.713399136   -1.279380526
     1      24     0.02349     0.04069     0.00000   -2.380279934   -3.705566109   -1.325286175
     1      24     0.03524     0.06104     0.00000   -2.303360078   -3.667197123   -1.363837044
     1      24     0.04699     0.08139     0.00000   -2.224752439   -3.627649370   -1.402896930
     1      24     0.05874     0.10174     0.00000   -2.152858333   -3.596321880   -1.443463547
     1      24     0.07048     0.12208     0.00000   -2.091156914   -3.569879408   -1.478722493
     1      24     0.08223     0.14243     0.00000   -2.041192556   -3.546324621   -1.505132065
     1      24     0.09398     0.16278     0.00000   -2.003593451   -3.533633006   -1.530039555
     1      24     0.10573     0.18312     0.00000   -1.978551564   -3.531995180   -1.553443616
